order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI07104,2018-04-13,11:22:49,Breakfast,NS,"[('Coffee', 4), ('Eggs', 2), ('Cereal', 4), ('Pancake', 3)]",230.75,-37.808919,144.9728584,0,7.198,12.1342926
ORDY04084,2018-10-18,17:38:01,Dinner,TP,"[('Shrimp', 1), ('Pasta', 6), ('Fish&Chips', 6)]",429.0,-37.8044416,144.9508031,0,9.758,13.3974138
ORDA03329,2018-01-01,08:00:00,Breakfast,BK,"[('Cereal', 1), ('Eggs', 9)]",219.0,-37.8186923,144.9478945,1,9.273,10.2191409
ORDJ05004,2018-02-16,09:31:16,Breakfast,TP,"[('Coffee', 5), ('Pancake', 7)]",207.25,-37.8005422,144.9459658,0,10.463,12.1013751
ORDJ01301,2018-07-03,14:05:04,Lunch,TP,"[('Chicken', 1), ('Burger', 3), ('Steak', 9)]",530.0,-37.8095522,144.9645624,0,8.664,11.9002844
ORDY01628,2018-02-05,09:00:50,Breakfast,TP,"[('Coffee', 1), ('Eggs', 2), ('Pancake', 3)]",124.25,-37.8197592,145.0108659,0,11.56,13.3013701
ORDA03337,2018-03-11,10:11:49,Breakfast,BK,"[('Pancake', 1), ('Eggs', 9)]",222.25,-37.8032288,144.9633602,0,7.719,14.6937965
ORDZ04713,2018-01-20,08:30:25,Breakfast,NS,"[('Cereal', 3), ('Eggs', 3)]",129.0,-37.804112,144.9739368,0,6.671,13.1677389
ORDX02204,2018-09-22,16:47:19,Dinner,BK,"[('Fish&Chips', 10), ('Salmon', 7), ('Pasta', 5)]",774.5,-37.7994593,144.9486811,0,9.076,18.7376987
ORDX09128,2018-09-20,16:37:10,Dinner,BK,"[('Shrimp', 7), ('Fish&Chips', 7), ('Salmon', 1), ('Pasta', 5)]",801.5,-37.8238776,145.0137335,0,4.849,11.2685508
ORDC10450,2018-08-30,15:56:37,Lunch,NS,"[('Steak', 6), ('Chicken', 4), ('Fries', 2)]",422.0,-37.8095471,144.9394966,0,10.348,15.8102071
ORDA10537,2018-03-06,10:01:41,Breakfast,BK,"[('Eggs', 1), ('Pancake', 7), ('Coffee', 3)]",214.25,-37.8131041,144.9517013,0,8.528,13.5198696
ORDA02879,2018-08-27,15:56:37,Lunch,BK,"[('Steak', 4), ('Chicken', 1), ('Salad', 9), ('Burger', 7), ('Fries', 4)]",631.8,-37.8190279,144.954338,0,8.672,14.1965084
ORDK09955,2018-04-01,10:52:23,Breakfast,BK,"[('Coffee', 3), ('Cereal', 4)]",106.5,-37.8006458,145.0012261,0,5.135,6.227244
ORDJ04488,2018-05-31,12:54:05,Lunch,TP,"[('Burger', 6), ('Steak', 1), ('Chicken', 4), ('Fries', 8)]",455.0,-37.822232,144.9559424,0,8.13,17.384077350000002
ORDC01398,2018-05-29,12:54:05,Lunch,NS,"[('Burger', 8), ('Steak', 6), ('Chicken', 5), ('Fries', 5), ('Salad', 9)]",892.8,-37.8179635,144.9508132,0,9.221,14.5288792
ORDI04515,2018-10-26,17:48:10,Dinner,NS,"[('Fish&Chips', 10), ('Shrimp', 1), ('Salmon', 10)]",814.0,-37.8203302,144.9656391,0,8.899,14.5966568
ORDX00144,2018-07-27,14:45:38,Lunch,BK,"[('Salad', 8), ('Fries', 10), ('Chicken', 9), ('Steak', 6)]",815.6,-37.8104509,144.9834662,0,5.711,10.8188143
ORDC03871,2018-07-18,14:35:29,Lunch,NS,"[('Fries', 10), ('Burger', 5), ('Salad', 10)]",447.0,-37.8123423,144.968408,0,7.539,12.773977
ORDK01866,2018-08-29,15:56:37,Lunch,BK,"[('Steak', 2), ('Fries', 9), ('Chicken', 4), ('Burger', 8)]",574.0,-37.8209535,144.9570374,0,8.477,21.8789115
ORDZ01283,2018-11-27,18:59:09,Dinner,NS,"[('Pasta', 8), ('Shrimp', 9)]",706.0,-37.8009647,144.9566486,0,7.451,13.4063193
ORDJ00962,2018-10-30,17:58:18,Dinner,TP,"[('Salmon', 8), ('Pasta', 9)]",575.5,-37.8082365,144.9421811,0,10.056,13.9246462
ORDI00742,2018-06-26,13:44:47,Lunch,NS,"[('Chicken', 2), ('Burger', 3), ('Salad', 9), ('Steak', 10), ('Fries', 8)]",857.8,-37.8256481,144.9845656,0,9.555,14.5512931
ORDJ02994,2018-12-10,19:19:26,Dinner,TP,"[('Pasta', 5), ('Shrimp', 6), ('Fish&Chips', 5)]",636.5,-37.808638,144.9550102,0,9.022,13.1962377
ORDA00812,2018-12-19,19:39:43,Dinner,BK,"[('Shrimp', 4), ('Salmon', 9)]",585.0,-37.8143317,144.9359226,0,10.155,17.2768157
ORDX05463,2018-04-24,11:43:05,Breakfast,BK,"[('Eggs', 6), ('Cereal', 8), ('Coffee', 7)]",352.5,-37.8188348,144.953282,0,8.801,13.8745353
ORDA02132,2018-08-13,15:26:11,Lunch,BK,"[('Steak', 5), ('Burger', 3)]",318.0,-37.8068611,144.9375695,0,10.244,16.4474143
ORDC10985,2018-01-16,08:30:25,Breakfast,NS,"[('Pancake', 5), ('Coffee', 1), ('Cereal', 10)]",338.75,-37.8100887,145.0002385,1,9.492,6.4480139
ORDC01431,2018-10-25,17:48:10,Dinner,NS,"[('Fish&Chips', 8), ('Shrimp', 7)]",658.0,-37.8056394,144.9715276,0,6.823,12.7902452
ORDY02713,2018-08-07,15:16:03,Lunch,TP,"[('Steak', 7), ('Salad', 2)]",349.4,-37.823017,144.9847466,0,8.947,12.5540804
ORDB06699,2018-04-29,11:53:14,Breakfast,TP,"[('Eggs', 1), ('Coffee', 5), ('Pancake', 5), ('Cereal', 5)]",285.75,-37.8045175,144.9694499,0,9.503,13.2668989
ORDJ03586,2018-09-29,16:57:27,Dinner,TP,"[('Fish&Chips', 8), ('Salmon', 2)]",362.0,-37.8073472,144.9781648,0,9.507,15.5795568
ORDX01117,2018-07-15,14:25:21,Lunch,BK,"[('Salad', 4), ('Chicken', 9)]",356.8,-37.8064859,144.9419751,0,9.504,17.2784661
ORDZ02175,2018-01-22,08:40:33,Breakfast,NS,"[('Cereal', 9), ('Eggs', 3)]",255.0,-37.8214251,144.9540041,0,9.518,14.3229387
ORDB09754,2018-10-30,17:58:18,Dinner,TP,"[('Salmon', 9), ('Fish&Chips', 8)]",649.0,-37.8208973,144.995053,0,10.093,13.9768593
ORDX02269,2018-02-04,09:00:50,Breakfast,BK,"[('Eggs', 3), ('Pancake', 6), ('Cereal', 10), ('Coffee', 6)]",466.5,-37.8186913,144.9427556,0,9.806,17.10283
ORDB06531,2018-02-08,09:10:59,Breakfast,TP,"[('Pancake', 5), ('Eggs', 9)]",319.25,-37.8130453,144.9856635,0,9.536,12.3196752
ORDK05740,2018-03-04,10:01:41,Breakfast,BK,"[('Coffee', 10), ('Eggs', 2), ('Cereal', 5), ('Pancake', 5)]",345.25,-37.8237544,144.9405293,0,10.12,17.5102677
ORDJ10397,2018-02-01,09:00:50,Breakfast,TP,"[('Pancake', 4), ('Coffee', 9), ('Eggs', 7)]",318.5,-37.8053575,144.9271491,0,11.632,13.6841613
ORDA02785,2018-01-14,08:20:16,Breakfast,BK,"[('Pancake', 5), ('Eggs', 8), ('Cereal', 8), ('Coffee', 4)]",495.25,-37.7993334,144.9259476,1,11.05,8.6875939
ORDY02533,2018-10-24,17:48:10,Dinner,TP,"[('Shrimp', 7), ('Fish&Chips', 2), ('Pasta', 3)]",530.5,-37.8200177,144.9670299,0,7.448,12.2671635
ORDI09793,2018-11-15,18:28:43,Dinner,NS,"[('Shrimp', 6), ('Fish&Chips', 5), ('Salmon', 4), ('Pasta', 7)]",855.5,-37.8212735,144.9835621,0,9.145,15.0750144
ORDX08159,2018-08-06,15:05:54,Lunch,BK,"[('Burger', 3), ('Fries', 8), ('Salad', 7), ('Chicken', 4)]",437.4,-37.8054305,144.9296897,0,10.596,16.4114655
ORDB06396,2018-05-27,12:43:56,Lunch,TP,"[('Burger', 9), ('Chicken', 6), ('Salad', 6)]",574.2,-37.8149226,144.9912628,0,10.053,14.6948996
ORDA02203,2018-12-27,20:00:00,Dinner,BK,"[('Salmon', 1), ('Pasta', 2), ('Fish&Chips', 5), ('Shrimp', 1)]",325.0,-37.8194841,144.9526672,0,8.836,15.4560118
ORDC03815,2018-10-20,17:38:01,Dinner,NS,"[('Pasta', 6), ('Salmon', 5)]",370.0,-37.8104271,144.9641489,0,7.514,15.078252
ORDC08509,2018-01-03,08:00:00,Breakfast,NS,"[('Pancake', 10), ('Coffee', 10), ('Eggs', 6), ('Cereal', 3)]",512.5,-37.799478,145.014113,1,10.564,7.7459528
ORDB00569,2018-05-07,12:03:22,Lunch,TP,"[('Salad', 8), ('Burger', 8), ('Fries', 4), ('Chicken', 9), ('Steak', 7)]",1036.6,-37.8062244,144.9554662,0,9.32,12.1273282
ORDJ09262,2018-11-09,18:18:35,Dinner,TP,"[('Fish&Chips', 5), ('Pasta', 8), ('Salmon', 3), ('Shrimp', 4)]",734.0,-37.8240477,144.9568801,0,8.39,12.3802905
ORDX09775,2018-02-12,09:21:07,Breakfast,BK,"[('Coffee', 1), ('Pancake', 10)]",250.0,-37.811054,144.9702495,0,6.97,11.7397914
ORDY08702,2018-12-09,19:19:26,Dinner,TP,"[('Pasta', 2), ('Fish&Chips', 8), ('Shrimp', 10)]",875.0,-37.8199731,144.9911445,0,9.775,15.5608089
ORDX03396,2018-04-22,11:43:05,Breakfast,BK,"[('Eggs', 9), ('Pancake', 9), ('Cereal', 6)]",542.25,-37.8187569,144.9532343,0,8.817,15.6406754
ORDJ10144,2018-08-09,15:16:03,Lunch,TP,"[('Burger', 7), ('Chicken', 5), ('Fries', 6)]",449.0,-37.8154666,144.987904,0,9.672,12.9011236
ORDX09831,2018-08-09,15:16:03,Lunch,BK,"[('Salad', 9), ('Burger', 6)]",340.8,-37.8047395,144.9652608,0,7.395,13.0404123
ORDB09920,2018-10-05,17:07:36,Dinner,TP,"[('Shrimp', 9), ('Salmon', 9)]",855.0,-37.8084292,144.9679737,0,9.007,13.252444
ORDC03411,2018-07-31,14:55:46,Lunch,NS,"[('Chicken', 6), ('Burger', 4)]",316.0,-37.8120786,144.9739337,0,7.63,6.3322104
ORDB06637,2018-06-01,12:54:05,Lunch,TP,"[('Chicken', 10), ('Steak', 1)]",365.0,-37.8162141,144.9659806,0,7.86,11.8089513
ORDK11003,2018-08-19,15:36:20,Lunch,BK,"[('Chicken', 2), ('Burger', 3), ('Fries', 6), ('Salad', 7), ('Steak', 8)]",709.4,-37.8157863,144.9582671,0,8.207,16.8407243
ORDI03977,2018-07-21,14:35:29,Lunch,NS,"[('Burger', 7), ('Chicken', 3), ('Salad', 3)]",364.6,-37.8205572,145.0116272,0,11.388,18.9058794
ORDY08832,2018-12-07,19:19:26,Dinner,TP,"[('Shrimp', 5), ('Salmon', 5), ('Pasta', 6), ('Fish&Chips', 4)]",780.0,-37.8256364,144.9482106,0,8.812,13.3918388
ORDC01644,2018-05-08,12:13:31,Lunch,NS,"[('Burger', 3), ('Fries', 9), ('Steak', 9)]",606.0,-37.8043011,144.9717177,0,6.972,12.4232694
ORDA00151,2018-04-28,11:53:14,Breakfast,BK,"[('Cereal', 4), ('Pancake', 6), ('Coffee', 7), ('Eggs', 4)]",370.0,-37.8019073,144.9565594,0,8.271,15.7606949
ORDJ00542,2018-03-26,10:42:15,Breakfast,TP,"[('Cereal', 3), ('Eggs', 2), ('Coffee', 7)]",159.5,-37.8055337,144.9736039,0,9.516,11.7322536
ORDX00301,2018-04-08,11:12:40,Breakfast,BK,"[('Eggs', 7), ('Cereal', 4)]",238.0,-37.8100283,144.9906973,0,5.0,12.8923667
ORDX10825,2018-10-05,17:07:36,Dinner,BK,"[('Fish&Chips', 7), ('Salmon', 10), ('Shrimp', 6), ('Pasta', 9)]",1226.5,-37.8141096,144.9676563,0,7.379,14.1699379
ORDA04788,2018-09-15,16:27:02,Dinner,BK,"[('Salmon', 6), ('Shrimp', 2), ('Pasta', 7)]",546.5,-37.801275,145.0036219,0,5.347,15.1381322
ORDX06623,2018-10-27,17:58:18,Dinner,BK,"[('Shrimp', 8), ('Fish&Chips', 4), ('Salmon', 1)]",613.0,-37.8108454,144.9447809,0,10.073,20.1439075
ORDI09991,2018-01-07,08:10:08,Breakfast,NS,"[('Coffee', 2), ('Cereal', 7), ('Pancake', 6), ('Eggs', 9)]",505.5,-37.8129773,144.9366979,1,9.99,8.4033474
ORDZ03695,2018-07-29,14:55:46,Lunch,NS,"[('Salad', 8), ('Chicken', 3)]",233.6,-37.8150276,144.945058,0,9.182,16.874158
ORDI06705,2018-11-30,18:59:09,Dinner,NS,"[('Fish&Chips', 8), ('Salmon', 6)]",526.0,-37.8154544,144.9665483,0,8.077,20.77521255
ORDC11063,2018-08-11,15:16:03,Lunch,NS,"[('Fries', 9), ('Salad', 4), ('Chicken', 7), ('Steak', 2)]",490.8,-37.8068929,144.9377451,0,10.386,18.0167983
ORDK11107,2018-05-15,12:23:39,Lunch,BK,"[('Chicken', 10), ('Burger', 6), ('Salad', 2), ('Fries', 1)]",552.4,-37.8182673,144.9642352,0,7.723,13.9813128
ORDJ03632,2018-06-01,12:54:05,Lunch,TP,"[('Salad', 1), ('Burger', 5), ('Fries', 10), ('Chicken', 7)]",516.2,-37.820953,144.9475811,0,8.97,12.2221296
ORDC10893,2018-04-01,10:52:23,Breakfast,NS,"[('Coffee', 5), ('Cereal', 9), ('Eggs', 10), ('Pancake', 10)]",689.0,-37.8185145,144.9540726,0,9.124,16.3517049
ORDY02004,2018-02-16,09:31:16,Breakfast,TP,"[('Coffee', 3), ('Pancake', 10)]",265.0,-37.8041733,144.9501706,0,10.036,13.2509306
ORDK04715,2018-01-28,08:50:42,Breakfast,BK,"[('Pancake', 10), ('Coffee', 6), ('Cereal', 4), ('Eggs', 7)]",525.5,-37.8235056,144.9431456,0,9.973,17.0799129
ORDB02716,2018-11-14,18:28:43,Dinner,TP,"[('Pasta', 10), ('Fish&Chips', 9), ('Shrimp', 8)]",1022.0,-37.8065136,144.9440952,0,10.134,14.3669193
ORDZ04478,2018-12-19,19:39:43,Dinner,NS,"[('Pasta', 7), ('Fish&Chips', 1), ('Shrimp', 3)]",389.5,-37.8148524,144.9271316,0,10.837,17.2837569
ORDB04082,2018-10-23,17:48:10,Dinner,TP,"[('Pasta', 6), ('Salmon', 5), ('Fish&Chips', 6), ('Shrimp', 10)]",1120.0,-37.8071253,144.9486282,0,9.697,13.8262926
ORDC05930,2018-03-21,10:32:06,Breakfast,NS,"[('Coffee', 5), ('Eggs', 4), ('Pancake', 5)]",246.75,-37.8159634,144.9613069,0,8.388,13.4482606
ORDC06008,2018-01-28,08:50:42,Breakfast,NS,"[('Pancake', 4), ('Cereal', 3)]",160.0,-37.8100144,144.9360754,0,10.007,16.9592384
ORDK03773,2018-07-20,14:35:29,Lunch,BK,"[('Burger', 3), ('Chicken', 6)]",285.0,-37.8121092,144.9691805,0,7.202,6.5891738
ORDK02667,2018-12-20,19:39:43,Dinner,BK,"[('Pasta', 2), ('Shrimp', 6), ('Salmon', 10)]",789.0,-37.802362,144.9915361,0,6.648,13.3990717
ORDK01809,2018-12-05,19:09:17,Dinner,BK,"[('Salmon', 10), ('Fish&Chips', 1)]",445.0,-37.8207182,144.954738,0,8.636,15.4177542
ORDK05416,2018-06-24,13:44:47,Lunch,BK,"[('Chicken', 2), ('Fries', 5)]",124.0,-37.8260405,144.983526,0,6.946,15.1029045
ORDZ08389,2018-08-03,15:05:54,Lunch,NS,"[('Steak', 2), ('Chicken', 4), ('Salad', 9)]",372.8,-37.8122401,144.9736344,0,7.589,12.8036135
ORDX05895,2018-12-08,19:19:26,Dinner,BK,"[('Pasta', 6), ('Salmon', 1), ('Shrimp', 1)]",260.0,-37.8244182,144.948369,0,9.318,19.1807468
ORDY01085,2018-08-19,15:36:20,Lunch,TP,"[('Burger', 8), ('Chicken', 5), ('Fries', 9), ('Salad', 1)]",533.2,-37.8157863,144.9582671,0,8.161,12.8572223
ORDC01315,2018-09-05,16:06:45,Dinner,NS,"[('Fish&Chips', 1), ('Pasta', 6), ('Shrimp', 7), ('Salmon', 2)]",660.0,-37.8161428,144.9287483,0,10.576,16.5080512
ORDK04533,2018-11-12,18:28:43,Dinner,BK,"[('Pasta', 2), ('Fish&Chips', 9)]",370.0,-37.8043195,144.9780489,0,6.998,13.7420342
ORDK10382,2018-10-29,17:58:18,Dinner,BK,"[('Salmon', 4), ('Shrimp', 2), ('Fish&Chips', 9), ('Pasta', 6)]",752.0,-37.8178879,144.9621366,0,7.931,14.8292962
ORDA05472,2018-04-02,11:02:32,Breakfast,BK,"[('Pancake', 4), ('Cereal', 2), ('Eggs', 4)]",227.0,-37.8134857,144.9585706,0,8.025,13.0491341
ORDC02840,2018-08-16,15:26:11,Lunch,NS,"[('Salad', 5), ('Chicken', 3), ('Steak', 10), ('Burger', 3)]",725.0,-37.8113201,145.0004866,0,9.565,14.5826402
ORDB02057,2018-05-06,12:03:22,Lunch,TP,"[('Steak', 2), ('Burger', 7), ('Fries', 9), ('Chicken', 2)]",479.0,-37.8019359,144.9708643,0,9.845,14.4830695
ORDJ02568,2018-05-06,12:03:22,Lunch,TP,"[('Chicken', 2), ('Salad', 5), ('Fries', 5)]",210.0,-37.8081329,144.9339054,0,10.861,15.2192975
ORDA03686,2018-09-13,16:27:02,Dinner,BK,"[('Pasta', 9), ('Shrimp', 9), ('Salmon', 1)]",774.5,-37.8090742,144.9316054,0,10.494,17.7445441
ORDK08935,2018-01-01,08:00:00,Breakfast,BK,"[('Pancake', 10), ('Eggs', 9), ('Cereal', 8), ('Coffee', 1)]",616.0,-37.8189675,144.98492,1,6.214,5.7911476
ORDB01871,2018-06-25,13:44:47,Lunch,TP,"[('Salad', 5), ('Burger', 1)]",117.0,-37.8250792,144.9827779,0,8.978,11.9653083
ORDA03235,2018-06-17,13:34:38,Lunch,BK,"[('Fries', 8), ('Steak', 1), ('Salad', 7)]",261.4,-37.8015587,144.9643303,0,7.9,16.2759513
ORDJ09828,2018-11-12,18:28:43,Dinner,TP,"[('Fish&Chips', 4), ('Pasta', 10), ('Shrimp', 5), ('Salmon', 8)]",1013.0,-37.8024671,144.9757607,0,9.948,13.9232461
ORDX03427,2018-05-18,12:33:48,Lunch,BK,"[('Burger', 7), ('Steak', 8), ('Chicken', 7), ('Salad', 9)]",955.8,-37.8045374,144.9431479,0,9.221,15.0697275
ORDK00696,2018-05-20,12:33:48,Lunch,BK,"[('Chicken', 6), ('Salad', 5)]",278.0,-37.8020399,144.9570886,0,8.201,16.8574182
ORDC05901,2018-06-20,13:34:38,Lunch,NS,"[('Salad', 9), ('Steak', 1), ('Fries', 3)]",235.8,-37.8222521,144.9447881,0,10.179,15.8094421
ORDA08626,2018-03-17,10:21:58,Breakfast,BK,"[('Pancake', 7), ('Cereal', 6), ('Coffee', 3), ('Eggs', 5)]",428.25,-37.8214287,144.9894055,0,6.046,13.608281
ORDY01672,2018-12-23,19:49:51,Dinner,TP,"[('Salmon', 3), ('Fish&Chips', 1), ('Pasta', 1), ('Shrimp', 6)]",509.5,-37.8032485,144.9816499,0,10.18,15.9663053
ORDI05015,2018-06-26,13:44:47,Lunch,NS,"[('Fries', 7), ('Chicken', 1), ('Salad', 3), ('Burger', 6)]",353.6,-37.8111243,145.0017881,0,9.648,15.4412324
ORDY08630,2018-07-04,14:05:04,Lunch,TP,"[('Salad', 2), ('Burger', 4), ('Steak', 8), ('Chicken', 2), ('Fries', 9)]",690.4,-37.8228858,145.010151,0,11.497,21.4559244
ORDK06594,2018-02-05,09:10:59,Breakfast,BK,"[('Pancake', 10), ('Cereal', 5), ('Eggs', 6), ('Coffee', 2)]",494.5,-37.8213827,144.9891057,0,6.074,10.6743449
ORDB08981,2018-09-30,16:57:27,Dinner,TP,"[('Salmon', 10), ('Fish&Chips', 9)]",725.0,-37.8144874,144.943067,0,9.83,15.3237472
